-------------------
  t(s)      y(m) 
-------------------
0.0420      0.1173 
0.0519      0.1425 
0.1026      0.2562 
0.1117      0.2739 
0.1559      0.3485 
0.1738      0.3733 
0.2094      0.4132 
0.2134      0.4169 
0.2139      0.4172 
0.2700      0.4524 
0.2807      0.4556 
0.2958      0.4582 
0.3465      0.4506 
0.3500      0.4491 
0.3681      0.4397 
0.3730      0.4366 
0.3933      0.4212 
0.5062      0.2618 
0.5280      0.2166 
0.5301      0.2119 
0.5768      0.0985 
0.5798      0.0904 
-------------------
